PERMNO,date,TICKER,TRDSTAT,PRC,RET,SHROUT,sprtrn
64311,20210730,NSC,A,257.82999,-0.02856,246972,0.022748
64311,20210831,NSC,A,253.53999,-0.012411,246972,0.02899
64311,20210930,NSC,A,239.25,-0.056362,246972,-0.047569
64311,20211029,NSC,A,293.04999,0.224869,243345,0.069144
64311,20211130,NSC,A,265.26999,-0.091077,243345,-0.008334
64311,20211231,NSC,A,297.70999,0.122291,243345,0.043613
64311,20220131,NSC,A,271.98999,-0.086393,240163,-0.052585
64311,20220228,NSC,A,256.51999,-0.052318,239777,-0.031361
64311,20220331,NSC,A,285.22,0.111882,239777,0.035773
64311,20220429,NSC,A,257.88,-0.095856,259349,-0.087957
64311,20220531,NSC,A,239.66,-0.065845,238333,0.000053
64311,20220630,NSC,A,227.28999,-0.051615,238333,-0.08392
64311,20220729,NSC,A,251.17,0.105064,238333,0.091116
64311,20220831,NSC,A,243.13,-0.027073,234874,-0.04244
64311,20220930,NSC,A,209.64999,-0.137704,234874,-0.093396
64311,20221031,NSC,A,228.07001,0.087861,231514,0.079863
64311,20221130,NSC,A,256.5,0.130092,231514,0.053753
64311,20221230,NSC,A,246.42,-0.039298,231514,-0.058971
64390,20130131,PGR,A,22.49,0.07936,604600,0.050428
64390,20130228,PGR,A,24.36,0.083148,603920,0.011061
64390,20130328,PGR,A,25.27,0.037356,603218,0.035988
64390,20130430,PGR,A,25.29,0.000791,603200,0.018086
64390,20130531,PGR,A,25.49,0.007908,602400,0.020763
64390,20130628,PGR,A,25.42,-0.002746,602400,-0.014999
64390,20130731,PGR,A,26.01,0.02321,602400,0.049462
64390,20130830,PGR,A,25.07,-0.03614,601200,-0.031298
64390,20130930,PGR,A,27.23,0.086159,600000,0.029749
64390,20131031,PGR,A,25.97,-0.046273,600000,0.044596
64390,20131129,PGR,A,27.93,0.075472,599996,0.028049
64390,20131231,PGR,A,27.27,-0.02363,599700,0.023563
64390,20140131,PGR,A,23.24,-0.093036,599700,-0.035583
64390,20140228,PGR,A,24.49,0.053787,595282,0.043117
64390,20140331,PGR,A,24.22,-0.011025,594286,0.006932
64390,20140430,PGR,A,24.25,0.001239,593100,0.006201
64390,20140530,PGR,A,25.03,0.032165,592006,0.02103
64390,20140630,PGR,A,25.36,0.013184,592000,0.019058
64390,20140731,PGR,A,23.44,-0.07571,591472,-0.01508
64390,20140829,PGR,A,25.02,0.067406,590700,0.037655
64390,20140930,PGR,A,25.28,0.010392,590000,-0.015514
64390,20141031,PGR,A,26.41,0.044699,589207,0.023201
64390,20141128,PGR,A,27.24,0.031427,587800,0.024534
64390,20141231,PGR,A,26.99,-0.009178,587800,-0.004189
64390,20150130,PGR,A,25.95,-0.038533,587800,-0.031041
64390,20150227,PGR,A,26.65,0.053418,588900,0.054893
64390,20150331,PGR,A,27.2,0.020638,587565,-0.017396
64390,20150430,PGR,A,26.66,-0.019853,587300,0.008521
64390,20150529,PGR,A,27.34,0.025506,586700,0.010491
64390,20150630,PGR,A,27.83,0.017922,586200,-0.021012
64390,20150731,PGR,A,30.5,0.09594,589900,0.019742
64390,20150831,PGR,A,29.96,-0.017705,586500,-0.062581
64390,20150930,PGR,A,30.64,0.022697,585000,-0.026443
64390,20151030,PGR,A,33.13,0.081266,584600,0.082983
64390,20151130,PGR,A,30.82,-0.069725,584500,0.000505
64390,20151231,PGR,A,31.8,0.031798,584200,-0.01753
64390,20160129,PGR,A,31.25,-0.017296,583600,-0.050735
64390,20160229,PGR,A,31.92,0.049862,584328,-0.004128
64390,20160331,PGR,A,35.14,0.100877,582998,0.065991
64390,20160429,PGR,A,32.6,-0.072282,583000,0.002699
64390,20160531,PGR,A,33.3,0.021472,583000,0.015329
64390,20160630,PGR,A,33.5,0.006006,582700,0.000906
64390,20160729,PGR,A,32.51,-0.029552,581900,0.03561
64390,20160831,PGR,A,32.56,0.001538,581916,-0.001219
64390,20160930,PGR,A,31.5,-0.032555,581916,-0.001234
64390,20161031,PGR,A,31.51,0.000317,580800,-0.019426
64390,20161130,PGR,A,33.3,0.056807,580300,0.034174
64390,20161230,PGR,A,35.5,0.066066,579900,0.018201
64390,20170131,PGR,A,37.44,0.054648,579900,0.017884
64390,20170228,PGR,A,39.18,0.064658,580800,0.037198
64390,20170331,PGR,A,39.18,0,580900,-0.000389
64390,20170428,PGR,A,39.72,0.013783,580900,0.009091
64390,20170531,PGR,A,42.43,0.068228,580900,0.011576
64390,20170630,PGR,A,44.09,0.039123,581000,0.004814
64390,20170731,PGR,A,47.13,0.06895,581048,0.019349
64390,20170831,PGR,A,46.48,-0.013792,581900,0.000546
64390,20170929,PGR,A,48.42,0.041738,581900,0.019303
64390,20171031,PGR,A,48.65,0.00475,581600,0.022188
64390,20171130,PGR,A,53.18,0.093114,581600,0.028083
64390,20171229,PGR,A,56.32,0.059045,581600,0.009832
64390,20180131,PGR,A,54.1,-0.039418,581700,0.056179
64390,20180228,PGR,A,57.58,0.085115,582276,-0.038947
64390,20180329,PGR,A,60.93,0.05818,582400,-0.026885
64390,20180430,PGR,A,60.29,-0.010504,582400,0.002719
64390,20180531,PGR,A,62.09,0.029856,582376,0.021608
64390,20180629,PGR,A,59.15,-0.047351,582376,0.004842
64390,20180731,PGR,A,60.01,0.014539,582512,0.036022
64390,20180831,PGR,A,67.53,0.125312,583100,0.030263
64390,20180928,PGR,A,71.04,0.051977,583100,0.004294
64390,20181031,PGR,A,69.7,-0.018863,583145,-0.069403
64390,20181130,PGR,A,66.29,-0.048924,583100,0.017859
64390,20181231,PGR,A,60.33,-0.089908,583200,-0.091777
64390,20190131,PGR,A,67.29,0.115365,583200,0.078684
64390,20190228,PGR,A,72.9,0.120731,583896,0.029729
64390,20190329,PGR,A,72.09,-0.011111,584000,0.017924
64390,20190430,PGR,A,78.15,0.085449,584000,0.039313
64390,20190531,PGR,A,79.28,0.014459,583986,-0.065778
64390,20190628,PGR,A,79.93,0.008199,583986,0.06893
64390,20190731,PGR,A,80.98,0.014388,584100,0.013128
64390,20190830,PGR,A,75.8,-0.063966,584648,-0.018092
64390,20190930,PGR,A,77.25,0.019129,584600,0.017181
64390,20191031,PGR,A,69.7,-0.09644,584600,0.020432
64390,20191129,PGR,A,73.05,0.048063,584630,0.034047
64390,20191231,PGR,A,72.39,-0.009035,584600,0.02859
64390,20200131,PGR,A,80.69,0.14712,584600,-0.001628
64390,20200228,PGR,A,73.16,-0.09332,585300,-0.08411
64390,20200331,PGR,A,73.84,0.009295,585298,-0.125119
64390,20200430,PGR,A,77.3,0.048212,585300,0.126844
64390,20200529,PGR,A,77.68,0.004916,585298,0.045282
64390,20200630,PGR,A,80.11,0.031282,585298,0.018388
64390,20200731,PGR,A,90.34,0.128948,585400,0.055101
64390,20200831,PGR,A,95.04,0.052026,585397,0.070065
64390,20200930,PGR,A,94.67,-0.003893,585600,-0.039228
64390,20201030,PGR,A,91.9,-0.028203,585600,-0.027666
64390,20201130,PGR,A,87.11,-0.052122,585598,0.107546
64390,20201231,PGR,A,98.88,0.135116,585300,0.037121
64390,20210129,PGR,A,87.19,-0.071703,585200,-0.011137
64390,20210226,PGR,A,85.95,-0.014222,585700,0.026091
64390,20210331,PGR,A,95.61,0.112391,585100,0.042439
